id,nombre,precio,descripción,largo(cm),alto(cm),ancho(cm),peso(kg),fecha_de_caducidad,duracion_sin_refrigerar,tipo_de_conserva,tienda
308,mix de verduras congeladas,6920,verduras congeladas,,,,1.33,2021-08-20,,,83
403,vestido,11750,ropa,41,36,14,0.61,,,,4
121,pan de molde,7108,pan,,,,,2021-06-18,21,,79
286,manzana,13091,frutas,,,,,2021-08-17,9,,87
11,papaya en conserva,7060,fruta en conserva,,,,,2022-02-04,,lata,33
322,mix de verduras congeladas,11198,verduras congeladas,,,,1.12,2021-09-18,,,41
31,papaya en conserva,8954,fruta en conserva,,,,,2022-04-20,,lata,28
226,carne molida,5033,carne congelada,,,,2.01,2022-04-17,,,9
331,lenguado,6376,pescado congelado,,,,1.21,2021-08-01,,,90
234,brocoli,10802,verduras,,,,,2022-01-06,5,,69
386,carne molida,7866,carne congelada,,,,2.83,2021-09-14,,,34
327,hallulla,6887,pan,,,,,2021-12-06,20,,70
137,jeans,11374,ropa,41,5,7,0.89,,,,5
202,garbanzos en conserva,14323,verdura en conserva,,,,,2022-01-29,,caja,67
398,pantalla papel,14579,pantalla de luz,19,20,25,0.19,,,,81
159,esparragos frasco,13153,verdura en conserva,,,,,2021-06-11,,frasco,58
104,chaqueta,9435,ropa,17,38,46,0.37,,,,29
26,manzana,7438,frutas,,,,,2021-10-02,17,,33
107,esparragos frasco,7134,verdura en conserva,,,,,2021-11-30,,caja,12
38,cerdo congelado,5036,carne congelada,,,,2.67,2021-07-11,,,73
300,durazno en conserva,5467,fruta en conserva,,,,,2022-02-18,,caja,12
101,mix de verduras congeladas,8253,verduras congeladas,,,,3.95,2021-07-18,,,55
398,pantalla papel,14579,pantalla de luz,19,20,25,0.19,,,,42
235,vacuno,8664,carne,,,,,2021-08-29,22,,21
388,hamburguesa de vacuno,8376,hamburguesa,,,,1.73,2021-10-11,,,13
305,teclado,9834,producto tecnologico,22,36,34,0.46,,,,49
295,manzana,11013,frutas,,,,,2022-01-18,17,,31
294,pollo congelado,10551,carne congelada,,,,4.93,2021-10-13,,,62
363,jeans,7348,ropa,38,34,31,0.25,,,,45
340,pantalla para colgar,5107,pantalla de luz,48,27,39,0.29,,,,46
197,pantalla papel,10497,pantalla de luz,46,35,27,0.63,,,,80
178,manzana,13975,frutas,,,,,2022-01-02,15,,42
303,pantalla lisa,14182,pantalla de luz,7,46,33,0.57,,,,99
302,teclado,8227,producto tecnologico,26,40,48,0.62,,,,89
200,hamburguesa de verduras,5681,hamburguesa,,,,4.37,2022-02-03,,,38
206,lenguado,8200,pescado congelado,,,,2.33,2021-05-19,,,7
163,carne molida,7134,carne congelada,,,,3.66,2021-09-26,,,90
35,hamburguesa de vacuno,13174,hamburguesa,,,,3.37,2021-08-07,,,62
88,mouse,12978,producto tecnologico,24,18,26,0.44,,,,72
44,lenguado,12660,pescado congelado,,,,3.44,2021-05-20,,,91
245,pantalla lisa,6627,pantalla de luz,49,31,37,0.25,,,,90
99,arvejas congeladas,12265,verduras congeladas,,,,1.51,2021-05-29,,,96
375,pollo congelado,7447,carne congelada,,,,2.31,2021-06-29,,,75
394,limon,5808,verduras,,,,,2021-09-15,11,,21
25,lechuga,7704,verduras,,,,,2021-12-21,15,,32
284,marraqueta,14433,pan,,,,,2022-02-20,14,,19
94,pollo congelado,6136,carne congelada,,,,1.14,2021-10-09,,,39
56,lenguado,5173,pescado congelado,,,,2.6,2021-11-07,,,71
297,pantalla para colgar,6596,pantalla de luz,20,13,44,0.51,,,,20
157,hamburguesa de pollo,14465,hamburguesa,,,,2.41,2021-09-28,,,68
182,manzana,14158,frutas,,,,,2021-07-27,23,,88
12,mix de frutas en conserva,9432,fruta en conserva,,,,,2021-10-07,,caja,37
199,garbanzos en conserva,9115,verdura en conserva,,,,,2021-12-23,,lata,73
228, frutillas en conserva,13599,fruta en conserva,,,,,2022-04-12,,lata,63
45,salmon,10211,pescado congelado,,,,1.69,2021-11-09,,,70
16,hamburguesa de quinoa,5914,hamburguesa,,,,2.2,2021-12-10,,,39
33, frutillas en conserva,9530,fruta en conserva,,,,,2021-09-14,,caja,54
390,vacuno congelado,12201,carne congelada,,,,3.58,2021-08-22,,,10
123,choclo congelado,14418,verduras congeladas,,,,2.32,2021-09-01,,,73
354,pollo congelado,8252,carne congelada,,,,2.98,2021-06-17,,,37
275,pantalla lisa,13875,pantalla de luz,34,42,25,0.77,,,,97
230,pantalla para colgar,5925,pantalla de luz,8,41,12,0.9,,,,67
143,vacuno,13742,carne,,,,,2022-03-08,8,,48
239,merlusa,8602,pescado congelado,,,,1.0,2022-03-10,,,13
52,manzana,7327,frutas,,,,,2021-12-12,19,,101
382,kiwi,10967,frutas,,,,,2021-12-07,10,,69
88,mouse,12978,producto tecnologico,24,18,26,0.44,,,,40
210,pantalla lisa,7658,pantalla de luz,46,8,14,0.35,,,,40
325,cerdo congelado,8676,carne congelada,,,,1.62,2021-05-16,,,50
264,hamburguesa de vacuno,14847,hamburguesa,,,,1.01,2021-08-21,,,28
169,hallulla,12245,pan,,,,,2021-05-17,5,,35
299,arvejas congeladas,7343,verduras congeladas,,,,2.55,2021-12-24,,,90
313,platano,12727,frutas,,,,,2021-11-23,18,,64
244,pantalla para colgar,5174,pantalla de luz,21,45,10,0.64,,,,20
66,vacuno congelado,12014,carne congelada,,,,1.35,2021-11-12,,,38
84,pantalla lisa,14987,pantalla de luz,16,20,49,0.83,,,,31
106,pantalla papel,8041,pantalla de luz,25,14,45,0.8,,,,7
38,cerdo congelado,5036,carne congelada,,,,2.67,2021-07-11,,,97
6,marraqueta,7830,pan,,,,,2021-08-21,22,,25
243,choclo congelado,6481,verduras congeladas,,,,3.91,2022-01-23,,,42
235,vacuno,8664,carne,,,,,2021-08-29,22,,42
14,durazno en conserva,8285,fruta en conserva,,,,,2021-06-08,,caja,34
218,hamburguesa de pollo,8248,hamburguesa,,,,1.39,2022-01-16,,,75
12,mix de frutas en conserva,9432,fruta en conserva,,,,,2021-10-07,,caja,74
226,carne molida,5033,carne congelada,,,,2.01,2022-04-17,,,74
75,lechuga,7914,verduras,,,,,2022-02-27,12,,85
62, frutillas en conserva,6958,fruta en conserva,,,,,2022-04-02,,lata,61
65,hamburguesa de verduras,7556,hamburguesa,,,,3.79,2022-02-08,,,100
279,merlusa,9334,pescado congelado,,,,1.41,2022-04-18,,,4
172,polera,11996,ropa,44,10,39,0.7,,,,50
67,limon,13531,verduras,,,,,2022-03-25,11,,13
410,salmon,12879,pescado congelado,,,,1.4,2021-09-02,,,54
185,cerdo,12579,carne,,,,,2021-12-20,6,,93
346,porotos congelados,7726,verduras congeladas,,,,2.94,2021-05-29,,,80
218,hamburguesa de pollo,8248,hamburguesa,,,,1.39,2022-01-16,,,17
92,garbanzos en conserva,11554,verdura en conserva,,,,,2022-04-17,,caja,70
312,pantalla papel,6898,pantalla de luz,43,7,19,0.75,,,,43
236,mouse,11941,producto tecnologico,42,8,38,0.94,,,,10
44,lenguado,12660,pescado congelado,,,,3.44,2021-05-20,,,21
89,pantalla lineas,6647,pantalla de luz,38,11,43,0.78,,,,85
27,hamburguesa de pollo,13436,hamburguesa,,,,2.03,2021-12-25,,,56
25,lechuga,7704,verduras,,,,,2021-12-21,15,,54
158,hamburguesa de pollo,10287,hamburguesa,,,,3.71,2021-05-07,,,78
9,hamburguesa de verduras,11678,hamburguesa,,,,3.01,2021-07-02,,,88
239,merlusa,8602,pescado congelado,,,,1.0,2022-03-10,,,13
127,pan de molde,9653,pan,,,,,2021-07-25,19,,80
211,hamburguesa de quinoa,13949,hamburguesa,,,,2.31,2021-10-10,,,56
226,carne molida,5033,carne congelada,,,,2.01,2022-04-17,,,94
395,choclo en conserva,11836,verdura en conserva,,,,,2021-10-05,,frasco,68
335,pan de molde,7937,pan,,,,,2022-02-12,17,,46
170,mix de verduras congeladas,7212,verduras congeladas,,,,4.06,2021-06-20,,,55
8,pantalla papel,5556,pantalla de luz,17,15,14,0.6,,,,30
383,hamburguesa de verduras,9105,hamburguesa,,,,3.79,2021-07-14,,,30
94,pollo congelado,6136,carne congelada,,,,1.14,2021-10-09,,,78
113,hamburguesa de verduras,8820,hamburguesa,,,,1.24,2021-06-12,,,30
69,teclado,11714,producto tecnologico,11,30,31,0.89,,,,43
262,lenguado,14080,pescado congelado,,,,1.7,2021-07-30,,,43
140,teclado,6971,producto tecnologico,45,9,8,0.56,,,,8
191,marraqueta,6589,pan,,,,,2022-05-02,17,,39
305,teclado,9834,producto tecnologico,22,36,34,0.46,,,,33
156,hallulla,11210,pan,,,,,2021-08-15,6,,80
24,teclado,9510,producto tecnologico,27,46,24,0.44,,,,98
98,teclado,5890,producto tecnologico,31,5,34,0.76,,,,88
179,teclado,12795,producto tecnologico,46,7,12,0.52,,,,94
59,durazno en conserva,5186,fruta en conserva,,,,,2021-09-10,,frasco,55
248,pantalla para colgar,8944,pantalla de luz,22,6,37,0.47,,,,31
271,televisor,9188,producto tecnologico,47,23,16,0.25,,,,98
177,hamburguesa de pollo,6480,hamburguesa,,,,2.75,2021-11-07,,,95
314,pavo congelado,12293,carne congelada,,,,3.25,2021-06-19,,,25
347,salmon,5361,pescado congelado,,,,1.66,2021-07-17,,,35
165,camiseta,10613,ropa,35,31,31,0.29,,,,84
32,pantalla para colgar,6200,pantalla de luz,47,45,32,0.19,,,,98
1,mix de frutas en conserva,10730,fruta en conserva,,,,,2021-06-07,,caja,42
316,vacuno,13806,carne,,,,,2022-04-03,12,,96
73,pantalla lineas,8949,pantalla de luz,22,29,11,0.45,,,,96
371,marraqueta,11380,pan,,,,,2022-04-05,21,,5
44,lenguado,12660,pescado congelado,,,,3.44,2021-05-20,,,88
333,pantalla lineas,6062,pantalla de luz,16,23,37,0.17,,,,24
52,manzana,7327,frutas,,,,,2021-12-12,19,,61
239,merlusa,8602,pescado congelado,,,,1.0,2022-03-10,,,53
330,cerdo,7094,carne,,,,,2022-02-28,14,,45
163,carne molida,7134,carne congelada,,,,3.66,2021-09-26,,,49
278,camiseta,9381,ropa,16,15,40,0.88,,,,88
108,pantalla papel,14454,pantalla de luz,18,12,5,0.76,,,,42
65,hamburguesa de verduras,7556,hamburguesa,,,,3.79,2022-02-08,,,26
58,hamburguesa de vacuno,5337,hamburguesa,,,,3.84,2022-01-06,,,60
149,pan de molde,13136,pan,,,,,2021-09-30,24,,9
417,pollo,10015,carne,,,,,2022-01-06,11,,50
111,lechuga,8330,verduras,,,,,2021-09-04,13,,38
316,vacuno,13806,carne,,,,,2022-04-03,12,,0
350,brocoli,7862,verduras,,,,,2021-06-05,24,,53
293,vacuno congelado,7891,carne congelada,,,,1.44,2021-12-03,,,10
184,hamburguesa de vacuno,6871,hamburguesa,,,,1.5,2022-02-25,,,43
386,carne molida,7866,carne congelada,,,,2.83,2021-09-14,,,37
134,jeans,10305,ropa,47,11,36,0.72,,,,76
253,platano,14191,frutas,,,,,2021-05-29,12,,72
238,reineta,10784,pescado congelado,,,,3.84,2022-04-11,,,38
126,teclado,12241,producto tecnologico,38,9,45,0.88,,,,28
120,marraqueta,13520,pan,,,,,2022-01-19,9,,72
309,carne molida,5014,carne congelada,,,,1.25,2021-08-06,,,24
360,pantalla papel,11751,pantalla de luz,37,41,20,0.71,,,,23
38,cerdo congelado,5036,carne congelada,,,,2.67,2021-07-11,,,22
247,poleron,12512,ropa,35,28,12,0.85,,,,77
39,merlusa,10053,pescado congelado,,,,4.86,2021-10-05,,,50
24,teclado,9510,producto tecnologico,27,46,24,0.44,,,,23
364,mouse,11097,producto tecnologico,8,45,46,0.18,,,,49
355,mix de frutas en conserva,12120,fruta en conserva,,,,,2021-08-27,,frasco,18
332,pantalla lisa,7833,pantalla de luz,6,6,7,0.64,,,,48
395,choclo en conserva,11836,verdura en conserva,,,,,2021-10-05,,frasco,45
117,telefono,6853,producto tecnologico,26,7,27,0.62,,,,16
253,platano,14191,frutas,,,,,2021-05-29,12,,87
48,cerdo,13194,carne,,,,,2022-03-18,18,,59
256,porotos congelados,14619,verduras congeladas,,,,1.09,2021-08-23,,,57
403,vestido,11750,ropa,41,36,14,0.61,,,,72
343,choclo en conserva,12429,verdura en conserva,,,,,2021-06-09,,lata,36
74,pantalla lisa,14478,pantalla de luz,5,33,14,0.72,,,,19
229,merlusa,8380,pescado congelado,,,,4.96,2021-07-12,,,8
152,lenguado,13791,pescado congelado,,,,4.9,2022-04-27,,,47
264,hamburguesa de vacuno,14847,hamburguesa,,,,1.01,2021-08-21,,,97
293,vacuno congelado,7891,carne congelada,,,,1.44,2021-12-03,,,45
43,telefono,12517,producto tecnologico,38,19,35,0.15,,,,96
72,camisa,9228,ropa,6,24,30,0.58,,,,72
45,salmon,10211,pescado congelado,,,,1.69,2021-11-09,,,21
246,pollo,9006,carne,,,,,2021-10-27,7,,53
294,pollo congelado,10551,carne congelada,,,,4.93,2021-10-13,,,96
51,limon,10356,verduras,,,,,2022-01-14,8,,95
295,manzana,11013,frutas,,,,,2022-01-18,17,,85
391,choclo en conserva,8087,verdura en conserva,,,,,2021-07-19,,lata,40
349, frutillas en conserva,7657,fruta en conserva,,,,,2021-11-27,,lata,10
278,camiseta,9381,ropa,16,15,40,0.88,,,,47
411,durazno,11230,frutas,,,,,2022-02-17,8,,16
126,teclado,12241,producto tecnologico,38,9,45,0.88,,,,19
214,cerdo,6063,carne,,,,,2022-03-24,15,,35
166,reineta,12040,pescado congelado,,,,3.73,2021-08-12,,,93
255,vacuno congelado,5421,carne congelada,,,,1.53,2021-08-19,,,24
35,hamburguesa de vacuno,13174,hamburguesa,,,,3.37,2021-08-07,,,17
93,pan de molde,11181,pan,,,,,2021-10-23,22,,86
348,mouse,14046,producto tecnologico,18,14,42,0.29,,,,8
379,hamburguesa de vacuno,11754,hamburguesa,,,,1.87,2021-07-16,,,41
62, frutillas en conserva,6958,fruta en conserva,,,,,2022-04-02,,lata,5
90,mix de verduras congeladas,9916,verduras congeladas,,,,2.52,2021-09-29,,,38
387,lenguado,6433,pescado congelado,,,,2.87,2021-05-13,,,19
49,televisor,11837,producto tecnologico,9,36,33,0.39,,,,16
77,hallulla,14637,pan,,,,,2021-08-24,20,,48
400,mix de verduras congeladas,13648,verduras congeladas,,,,4.55,2022-04-09,,,67
263,pantalla papel,14631,pantalla de luz,8,8,33,0.31,,,,91
127,pan de molde,9653,pan,,,,,2021-07-25,19,,10
47,jeans,10242,ropa,47,43,11,0.68,,,,52
28,cerdo,12064,carne,,,,,2021-05-11,6,,62
86,televisor,13862,producto tecnologico,13,10,16,0.68,,,,78
371,marraqueta,11380,pan,,,,,2022-04-05,21,,8
158,hamburguesa de pollo,10287,hamburguesa,,,,3.71,2021-05-07,,,86
226,carne molida,5033,carne congelada,,,,2.01,2022-04-17,,,62
256,porotos congelados,14619,verduras congeladas,,,,1.09,2021-08-23,,,38
254,kiwi,7974,frutas,,,,,2021-12-29,17,,41
155,vestido,12164,ropa,12,20,41,0.7,,,,54
410,salmon,12879,pescado congelado,,,,1.4,2021-09-02,,,40
228, frutillas en conserva,13599,fruta en conserva,,,,,2022-04-12,,lata,89
282,salmon,11494,pescado congelado,,,,4.67,2021-06-10,,,60
257,pantalon,12445,ropa,39,15,50,0.46,,,,99
220,manzana,11649,frutas,,,,,2021-06-03,7,,33
375,pollo congelado,7447,carne congelada,,,,2.31,2021-06-29,,,33
343,choclo en conserva,12429,verdura en conserva,,,,,2021-06-09,,lata,83
216,pera,14400,frutas,,,,,2022-02-24,14,,74
59,durazno en conserva,5186,fruta en conserva,,,,,2021-09-10,,frasco,57
282,salmon,11494,pescado congelado,,,,4.67,2021-06-10,,,36
300,durazno en conserva,5467,fruta en conserva,,,,,2022-02-18,,caja,32
401,arvejas congeladas,14782,verduras congeladas,,,,2.48,2022-01-09,,,6
229,merlusa,8380,pescado congelado,,,,4.96,2021-07-12,,,19
124,garbanzos en conserva,11677,verdura en conserva,,,,,2021-11-05,,lata,61
52,manzana,7327,frutas,,,,,2021-12-12,19,,90
410,salmon,12879,pescado congelado,,,,1.4,2021-09-02,,,36
204,durazno,7673,frutas,,,,,2021-08-15,18,,56
220,manzana,11649,frutas,,,,,2021-06-03,7,,44
270,hamburguesa de verduras,12794,hamburguesa,,,,2.99,2021-05-18,,,39
170,mix de verduras congeladas,7212,verduras congeladas,,,,4.06,2021-06-20,,,4
9,hamburguesa de verduras,11678,hamburguesa,,,,3.01,2021-07-02,,,36
309,carne molida,5014,carne congelada,,,,1.25,2021-08-06,,,9
357,mouse,14549,producto tecnologico,26,50,42,0.66,,,,12
277,limon,7442,verduras,,,,,2021-05-15,19,,62
227,arvejas en conserva,13905,verdura en conserva,,,,,2021-09-04,,lata,18
398,pantalla papel,14579,pantalla de luz,19,20,25,0.19,,,,68
372,mouse,9082,producto tecnologico,20,10,12,0.85,,,,83
258,chaqueta,13813,ropa,35,33,14,0.63,,,,41
296,salmon,9495,pescado congelado,,,,1.02,2022-03-04,,,54
217,pollo,13965,carne,,,,,2021-09-16,24,,4
182,manzana,14158,frutas,,,,,2021-07-27,23,,89
261,palta,13207,verduras,,,,,2021-08-17,11,,69
16,hamburguesa de quinoa,5914,hamburguesa,,,,2.2,2021-12-10,,,64
392,arvejas en conserva,13884,verdura en conserva,,,,,2021-07-28,,lata,96
202,garbanzos en conserva,14323,verdura en conserva,,,,,2022-01-29,,caja,23
383,hamburguesa de verduras,9105,hamburguesa,,,,3.79,2021-07-14,,,100
394,limon,5808,verduras,,,,,2021-09-15,11,,6
372,mouse,9082,producto tecnologico,20,10,12,0.85,,,,82
148,palta,9424,verduras,,,,,2021-06-22,17,,40
124,garbanzos en conserva,11677,verdura en conserva,,,,,2021-11-05,,lata,66
45,salmon,10211,pescado congelado,,,,1.69,2021-11-09,,,14
76,manzana,9326,frutas,,,,,2021-06-19,22,,84
71,papaya en conserva,14577,fruta en conserva,,,,,2022-02-28,,lata,98
244,pantalla para colgar,5174,pantalla de luz,21,45,10,0.64,,,,55
356,kiwi,14585,frutas,,,,,2021-06-07,23,,81
345,hamburguesa de verduras,12480,hamburguesa,,,,2.74,2021-11-22,,,70
12,mix de frutas en conserva,9432,fruta en conserva,,,,,2021-10-07,,caja,97
111,lechuga,8330,verduras,,,,,2021-09-04,13,,94
395,choclo en conserva,11836,verdura en conserva,,,,,2021-10-05,,frasco,18
370,pera,14775,frutas,,,,,2021-07-24,21,,33
334,pantalla lineas,9860,pantalla de luz,40,14,10,0.98,,,,37
415,pantalla lineas,8289,pantalla de luz,45,8,35,0.47,,,,33
34,mix de verduras congeladas,13386,verduras congeladas,,,,4.15,2021-06-30,,,36
344,pantalla para colgar,11629,pantalla de luz,9,18,47,0.23,,,,53
103,hamburguesa de vacuno,11871,hamburguesa,,,,2.4,2021-12-25,,,76
147,arvejas en conserva,10396,verdura en conserva,,,,,2021-10-15,,lata,73
5,mix de verduras congeladas,11791,verduras congeladas,,,,1.61,2022-01-03,,,43
80,pera,11624,frutas,,,,,2022-01-09,18,,89
178,manzana,13975,frutas,,,,,2022-01-02,15,,69
136,pollo,8650,carne,,,,,2021-08-28,22,,14
77,hallulla,14637,pan,,,,,2021-08-24,20,,30
85,salmon,9211,pescado congelado,,,,4.93,2021-11-09,,,62
300,durazno en conserva,5467,fruta en conserva,,,,,2022-02-18,,caja,54
167,hamburguesa de vacuno,9224,hamburguesa,,,,2.74,2021-09-26,,,18
64,marraqueta,11303,pan,,,,,2021-06-30,9,,101
417,pollo,10015,carne,,,,,2022-01-06,11,,91
222,vestido,10689,ropa,19,49,16,0.17,,,,57
41,hamburguesa de verduras,13789,hamburguesa,,,,3.86,2021-06-04,,,10
300,durazno en conserva,5467,fruta en conserva,,,,,2022-02-18,,caja,33
358,platano,10315,frutas,,,,,2021-08-30,21,,10
0,merlusa,8706,pescado congelado,,,,4.82,2021-08-28,,,64
102,televisor,5303,producto tecnologico,33,12,50,0.17,,,,68
233,cerdo congelado,7670,carne congelada,,,,3.52,2022-03-03,,,73
352,mix de frutas en conserva,14348,fruta en conserva,,,,,2021-09-26,,frasco,67
252,pavo congelado,6840,carne congelada,,,,1.6,2021-10-01,,,83
193,reineta,12780,pescado congelado,,,,4.52,2022-02-04,,,26
219,papaya en conserva,13561,fruta en conserva,,,,,2022-01-15,,caja,92
398,pantalla papel,14579,pantalla de luz,19,20,25,0.19,,,,34
125,teclado,6734,producto tecnologico,12,42,48,0.82,,,,78
309,carne molida,5014,carne congelada,,,,1.25,2021-08-06,,,5
402,salmon,6712,pescado congelado,,,,4.51,2022-01-08,,,76
191,marraqueta,6589,pan,,,,,2022-05-02,17,,9
121,pan de molde,7108,pan,,,,,2021-06-18,21,,60
245,pantalla lisa,6627,pantalla de luz,49,31,37,0.25,,,,13
102,televisor,5303,producto tecnologico,33,12,50,0.17,,,,37
143,vacuno,13742,carne,,,,,2022-03-08,8,,16
313,platano,12727,frutas,,,,,2021-11-23,18,,57
63,arvejas congeladas,14607,verduras congeladas,,,,3.93,2021-11-05,,,24
55,mouse,6334,producto tecnologico,11,13,39,0.64,,,,21
277,limon,7442,verduras,,,,,2021-05-15,19,,64
165,camiseta,10613,ropa,35,31,31,0.29,,,,50
141,mix de frutas en conserva,6583,fruta en conserva,,,,,2021-08-26,,caja,81
314,pavo congelado,12293,carne congelada,,,,3.25,2021-06-19,,,24
143,vacuno,13742,carne,,,,,2022-03-08,8,,74
191,marraqueta,6589,pan,,,,,2022-05-02,17,,15
404,mix de verduras congeladas,14681,verduras congeladas,,,,1.66,2022-01-03,,,97
261,palta,13207,verduras,,,,,2021-08-17,11,,20
248,pantalla para colgar,8944,pantalla de luz,22,6,37,0.47,,,,50
119,hamburguesa de vacuno,12701,hamburguesa,,,,1.52,2022-01-30,,,47
27,hamburguesa de pollo,13436,hamburguesa,,,,2.03,2021-12-25,,,58
234,brocoli,10802,verduras,,,,,2022-01-06,5,,53
348,mouse,14046,producto tecnologico,18,14,42,0.29,,,,95
147,arvejas en conserva,10396,verdura en conserva,,,,,2021-10-15,,lata,47
255,vacuno congelado,5421,carne congelada,,,,1.53,2021-08-19,,,49
315,pantalla lisa,13048,pantalla de luz,40,24,26,0.36,,,,44
12,mix de frutas en conserva,9432,fruta en conserva,,,,,2021-10-07,,caja,88
69,teclado,11714,producto tecnologico,11,30,31,0.89,,,,27
80,pera,11624,frutas,,,,,2022-01-09,18,,79
233,cerdo congelado,7670,carne congelada,,,,3.52,2022-03-03,,,79
76,manzana,9326,frutas,,,,,2021-06-19,22,,24
258,chaqueta,13813,ropa,35,33,14,0.63,,,,49
319,vacuno,13414,carne,,,,,2021-05-21,14,,72
395,choclo en conserva,11836,verdura en conserva,,,,,2021-10-05,,frasco,52
130,hamburguesa de verduras,11010,hamburguesa,,,,1.02,2021-07-28,,,53
105,hamburguesa de vacuno,14223,hamburguesa,,,,4.37,2021-11-11,,,30
339,telefono,5181,producto tecnologico,21,23,26,0.3,,,,43
77,hallulla,14637,pan,,,,,2021-08-24,20,,68
353,pavo congelado,7137,carne congelada,,,,2.29,2021-10-21,,,47
351,vacuno congelado,11224,carne congelada,,,,4.69,2022-01-08,,,92
211,hamburguesa de quinoa,13949,hamburguesa,,,,2.31,2021-10-10,,,43
158,hamburguesa de pollo,10287,hamburguesa,,,,3.71,2021-05-07,,,55
186,lechuga,13393,verduras,,,,,2021-12-03,24,,33
173,porotos congelados,14661,verduras congeladas,,,,2.52,2021-06-29,,,62
155,vestido,12164,ropa,12,20,41,0.7,,,,79
362,pavo congelado,12446,carne congelada,,,,4.92,2022-01-03,,,17
190,pantalla papel,14669,pantalla de luz,7,15,41,0.36,,,,51
155,vestido,12164,ropa,12,20,41,0.7,,,,84
42,cerdo,6686,carne,,,,,2022-01-09,19,,41
62, frutillas en conserva,6958,fruta en conserva,,,,,2022-04-02,,lata,74
324,poleron,6437,ropa,39,24,44,0.93,,,,2
274,pera,11410,frutas,,,,,2022-01-28,15,,21
85,salmon,9211,pescado congelado,,,,4.93,2021-11-09,,,3
88,mouse,12978,producto tecnologico,24,18,26,0.44,,,,34
109,brocoli,7370,verduras,,,,,2021-12-21,21,,43
148,palta,9424,verduras,,,,,2021-06-22,17,,5
2,pantalla lisa,5609,pantalla de luz,26,20,22,0.32,,,,60
181,hamburguesa de verduras,5304,hamburguesa,,,,2.48,2021-06-26,,,8
41,hamburguesa de verduras,13789,hamburguesa,,,,3.86,2021-06-04,,,36
220,manzana,11649,frutas,,,,,2021-06-03,7,,52
416,esparragos frasco,6807,verdura en conserva,,,,,2022-01-18,,frasco,68
279,merlusa,9334,pescado congelado,,,,1.41,2022-04-18,,,22
403,vestido,11750,ropa,41,36,14,0.61,,,,66
246,pollo,9006,carne,,,,,2021-10-27,7,,93
401,arvejas congeladas,14782,verduras congeladas,,,,2.48,2022-01-09,,,69
105,hamburguesa de vacuno,14223,hamburguesa,,,,4.37,2021-11-11,,,20
124,garbanzos en conserva,11677,verdura en conserva,,,,,2021-11-05,,lata,6
178,manzana,13975,frutas,,,,,2022-01-02,15,,5
394,limon,5808,verduras,,,,,2021-09-15,11,,48
89,pantalla lineas,6647,pantalla de luz,38,11,43,0.78,,,,7
399,mouse,14474,producto tecnologico,42,36,10,0.36,,,,2
70,vacuno congelado,14623,carne congelada,,,,3.94,2021-09-03,,,16
158,hamburguesa de pollo,10287,hamburguesa,,,,3.71,2021-05-07,,,74
414,pantalla lineas,11871,pantalla de luz,12,14,49,0.55,,,,33
104,chaqueta,9435,ropa,17,38,46,0.37,,,,13
338,mix de frutas en conserva,10464,fruta en conserva,,,,,2021-10-26,,frasco,78
246,pollo,9006,carne,,,,,2021-10-27,7,,12
34,mix de verduras congeladas,13386,verduras congeladas,,,,4.15,2021-06-30,,,2
89,pantalla lineas,6647,pantalla de luz,38,11,43,0.78,,,,12
235,vacuno,8664,carne,,,,,2021-08-29,22,,70
101,mix de verduras congeladas,8253,verduras congeladas,,,,3.95,2021-07-18,,,83
247,poleron,12512,ropa,35,28,12,0.85,,,,74
115, frutillas en conserva,9542,fruta en conserva,,,,,2021-11-02,,lata,71
417,pollo,10015,carne,,,,,2022-01-06,11,,60
295,manzana,11013,frutas,,,,,2022-01-18,17,,26
59,durazno en conserva,5186,fruta en conserva,,,,,2021-09-10,,frasco,35
415,pantalla lineas,8289,pantalla de luz,45,8,35,0.47,,,,25
197,pantalla papel,10497,pantalla de luz,46,35,27,0.63,,,,65
360,pantalla papel,11751,pantalla de luz,37,41,20,0.71,,,,91
175,hallulla,11970,pan,,,,,2021-07-02,23,,33
229,merlusa,8380,pescado congelado,,,,4.96,2021-07-12,,,82
355,mix de frutas en conserva,12120,fruta en conserva,,,,,2021-08-27,,frasco,9
296,salmon,9495,pescado congelado,,,,1.02,2022-03-04,,,51
143,vacuno,13742,carne,,,,,2022-03-08,8,,51
92,garbanzos en conserva,11554,verdura en conserva,,,,,2022-04-17,,caja,73
191,marraqueta,6589,pan,,,,,2022-05-02,17,,36
31,papaya en conserva,8954,fruta en conserva,,,,,2022-04-20,,lata,49
273,hallulla,12150,pan,,,,,2021-08-15,23,,101
14,durazno en conserva,8285,fruta en conserva,,,,,2021-06-08,,caja,14
237,marraqueta,6179,pan,,,,,2022-01-17,15,,91
101,mix de verduras congeladas,8253,verduras congeladas,,,,3.95,2021-07-18,,,33
58,hamburguesa de vacuno,5337,hamburguesa,,,,3.84,2022-01-06,,,12
122,porotos congelados,11540,verduras congeladas,,,,3.16,2021-12-27,,,97
396,porotos congelados,8296,verduras congeladas,,,,4.65,2021-08-24,,,43
414,pantalla lineas,11871,pantalla de luz,12,14,49,0.55,,,,40
84,pantalla lisa,14987,pantalla de luz,16,20,49,0.83,,,,59
151,cerdo congelado,13962,carne congelada,,,,2.29,2021-10-26,,,98
52,manzana,7327,frutas,,,,,2021-12-12,19,,34
